Accessions,10C,18C,18T,19T,3T,4T,5C,8C
A0A7D8ZAI0,NA,0.000202028,NA,NA,NA,NA,NA,NA
A0A7D9BUK8,NA,0.000202028,NA,NA,NA,NA,NA,NA
A0A7D9BVP8,NA,0.000202028,NA,NA,NA,NA,NA,NA
A0A7G4BHA1,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A7G4BTR8,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A7I2RYU0,NA,NA,NA,0.000159995,NA,NA,NA,NA
A0A7I2V2D2,NA,1.30E-05,NA,NA,NA,NA,NA,NA
A0A7I2V2F9,NA,5.50E-05,NA,1.79E-05,NA,NA,NA,NA
A0A7I2V2G2,NA,8.04E-05,NA,0.000244329,NA,9.83E-05,NA,NA
A0A7I2V2K5,NA,0.000118354,NA,NA,NA,NA,NA,NA
A0A7I2V2L9,NA,4.50E-05,NA,8.03E-05,NA,NA,NA,NA
A0A7I2V2M5,NA,NA,NA,2.99E-05,NA,NA,NA,NA
A0A7I2V2Q8,NA,7.50E-05,NA,NA,NA,NA,NA,NA
A0A7I2V2R3,NA,0.000291007,NA,0.000435097,NA,NA,NA,NA
A0A7I2V2S7,NA,NA,0.00032897,0.000230001,NA,9.26E-05,NA,NA
A0A7I2V2T9,NA,NA,NA,1.26E-05,NA,NA,NA,NA
A0A7I2V2U2,NA,NA,NA,2.33E-05,NA,NA,NA,NA
A0A7I2V2X6,0.000169055,0.00026707,0.000633882,NA,NA,NA,NA,NA
A0A7I2V2Y2,9.40E-05,NA,NA,NA,NA,0.000160097,NA,NA
A0A7I2V348,NA,5.51E-05,NA,1.79E-05,NA,NA,NA,NA
A0A7I2V369,0.000284033,NA,NA,NA,NA,NA,NA,NA
A0A7I2V370,NA,NA,NA,2.50E-05,NA,NA,NA,NA
A0A7I2V385,NA,3.17E-05,NA,NA,NA,NA,NA,NA
A0A7I2V389,NA,NA,NA,1.99E-05,NA,NA,NA,NA
A0A7I2V3E1,NA,NA,NA,8.88E-05,NA,NA,NA,NA
A0A7I2V3F1,NA,NA,NA,0.000100945,NA,NA,NA,NA
A0A7I2V3F3,NA,0.000197626,NA,0.000178305,NA,NA,NA,NA
A0A7I2V3F7,NA,8.13E-05,0.00035352,NA,NA,9.95E-05,NA,NA
A0A7I2V3G1,0.001963476,NA,0.002638443,0.000220023,0.002629998,0.000875804,NA,NA
A0A7I2V3G7,NA,NA,NA,3.11E-05,NA,NA,NA,NA
A0A7I2V3I5,NA,NA,NA,1.39E-05,NA,NA,NA,NA
A0A7I2V3J7,NA,NA,NA,1.46E-05,NA,NA,NA,NA
A0A7I2V3R8,NA,0.000598316,NA,0.000986922,NA,NA,NA,NA
A0A7I2V3S6,NA,0.000179759,NA,NA,NA,NA,NA,NA
A0A7I2V3U0,NA,NA,NA,0.000109716,NA,NA,NA,NA
A0A7I2V3W8,NA,NA,NA,1.90E-05,NA,NA,NA,NA
A0A7I2V402,NA,0.000276791,NA,NA,NA,NA,NA,NA
A0A7I2V412,NA,NA,NA,0.000312429,NA,NA,NA,NA
A0A7I2V428,NA,NA,NA,0.000179857,NA,NA,NA,NA
A0A7I2V430,NA,NA,NA,3.12E-05,NA,NA,NA,NA
A0A7I2V440,NA,NA,NA,1.65E-05,NA,NA,NA,NA
A0A7I2V464,NA,NA,NA,0.000146529,NA,NA,NA,NA
A0A7I2V466,NA,7.53E-05,NA,NA,NA,NA,NA,NA
A0A7I2V473,NA,8.47E-05,NA,NA,NA,NA,NA,NA
A0A7I2V484,NA,2.99E-05,NA,NA,NA,NA,NA,NA
A0A7I2V492,NA,NA,NA,3.94E-05,NA,NA,NA,NA
A0A7I2V4E4,NA,2.55E-05,NA,NA,NA,NA,NA,NA
A0A7I2V4F0,NA,NA,NA,2.97E-05,NA,NA,NA,NA
A0A7I2V4F7,NA,4.53E-05,0.000304335,4.50E-05,0.000537776,NA,NA,NA
A0A7I2V4H4,NA,1.65E-05,NA,5.30E-05,NA,NA,NA,NA
A0A7I2V4J2,NA,NA,NA,0.000112715,NA,NA,NA,NA
A0A7I2V4J6,NA,0.000255499,NA,0.000382008,NA,NA,NA,NA
A0A7I2V4K6,NA,NA,NA,4.21E-05,NA,NA,NA,NA
A0A7I2V4L7,NA,2.67E-05,NA,8.36E-06,NA,NA,NA,NA
A0A7I2V4N2,NA,NA,NA,0.000146529,NA,NA,NA,NA
A0A7I2V4T9,NA,NA,NA,2.43E-05,NA,NA,NA,NA
A0A7I2V4Y4,0.000144266,NA,0.000828458,NA,0.000181161,0.000707547,NA,NA
A0A7I2V4Z0,NA,5.24E-05,NA,NA,NA,NA,NA,NA
A0A7I2V535,NA,NA,NA,0.00010529,NA,NA,NA,NA
A0A7I2V540,5.35E-05,NA,NA,NA,NA,9.12E-05,NA,NA
A0A7I2V581,NA,NA,NA,4.04E-05,NA,NA,NA,NA
A0A7I2V586,NA,NA,NA,0.000106485,NA,NA,NA,NA
A0A7I2V588,NA,NA,NA,1.86E-05,NA,NA,NA,NA
A0A7I2V599,0.000170314,0.000269059,0.000638603,0.000907474,NA,NA,NA,NA
A0A7I2V5B1,NA,3.55E-05,NA,NA,NA,NA,NA,NA
A0A7I2V5D8,NA,0.000276791,NA,0.000413842,NA,NA,NA,NA
A0A7I2V5E6,NA,NA,NA,NA,NA,0.001845925,NA,NA
A0A7I2V5H9,NA,NA,NA,8.87E-05,NA,NA,NA,NA
A0A7I2V5J5,NA,NA,NA,NA,NA,NA,0.000256139,NA
A0A7I2V5K3,0.000308982,NA,0.001158547,NA,NA,NA,NA,NA
A0A7I2V5L3,NA,4.74E-05,NA,8.46E-05,NA,NA,NA,NA
A0A7I2V5M1,0.00024389,NA,0.00091448,NA,NA,NA,NA,NA
A0A7I2V5M3,NA,2.42E-05,NA,NA,NA,NA,NA,NA
A0A7I2V5M5,NA,NA,NA,0.000184407,NA,NA,NA,NA
A0A7I2V5Q6,NA,8.47E-05,NA,NA,NA,NA,NA,NA
A0A7I2V5R3,NA,1.63E-05,NA,NA,NA,NA,NA,NA
A0A7I2V5R6,NA,NA,NA,8.95E-05,NA,NA,NA,NA
A0A7I2V5S2,NA,0.000190073,NA,0.000389829,NA,NA,NA,NA
A0A7I2V5T3,NA,NA,NA,3.75E-05,NA,NA,NA,NA
A0A7I2V5T4,NA,NA,NA,0.000102638,NA,NA,NA,NA
A0A7I2V5X5,NA,NA,NA,1.05E-05,NA,NA,NA,NA
A0A7I2V5X9,NA,NA,NA,2.78E-05,NA,NA,NA,NA
A0A7I2V5Y7,NA,NA,NA,0.00011082,NA,NA,NA,NA
A0A7I2V5Z3,NA,NA,NA,2.27E-05,NA,NA,NA,NA
A0A7I2V5Z8,NA,NA,NA,3.76E-05,NA,NA,NA,NA
A0A7I2V614,NA,NA,NA,0.000108816,NA,NA,NA,NA
A0A7I2V621,NA,1.12E-05,NA,1.05E-05,NA,NA,NA,NA
A0A7I2V649,NA,2.72E-05,NA,8.52E-06,NA,NA,NA,NA
A0A7I2V659,0.001078329,0.002020821,NA,0.001143774,NA,NA,NA,NA
A0A7I2V668,NA,0.000945328,NA,2.20E-05,NA,NA,NA,NA
A0A7I2V682,NA,NA,NA,1.31E-05,NA,NA,NA,NA
A0A7I2V697,NA,NA,NA,2.56E-05,NA,NA,NA,NA
A0A7I2V6E3,NA,8.09E-05,NA,NA,NA,NA,NA,NA
A0A7I2YQ71,0.000295028,NA,0.001106226,NA,NA,NA,NA,NA
A0A7I2YQ77,NA,NA,NA,3.22E-05,NA,NA,NA,NA
A0A7I2YQ88,NA,2.54E-05,NA,7.94E-06,NA,NA,NA,NA
A0A7I2YQ90,NA,2.66E-05,NA,8.32E-06,NA,NA,NA,NA
A0A7I2YQB2,NA,NA,NA,NA,NA,0.000103973,NA,NA
A0A7I2YQC0,NA,0.000179481,NA,0.000368105,NA,NA,NA,NA
A0A7I2YQG2,NA,5.78E-05,NA,NA,NA,NA,NA,NA
A0A7I2YQK6,0.000189748,NA,0.000711473,NA,NA,NA,NA,NA
A0A7I2YQK9,NA,NA,NA,1.81E-05,NA,NA,NA,NA
A0A7I2YQN2,NA,5.09E-05,NA,NA,NA,NA,NA,NA
A0A7I2YQP7,NA,3.43E-05,NA,NA,NA,NA,NA,NA
A0A7I2YQQ3,NA,NA,NA,2.61E-05,NA,NA,NA,NA
A0A7I2YQT5,NA,9.91E-05,NA,NA,NA,NA,NA,NA
A0A7I2YQV1,NA,NA,NA,NA,NA,0.001100781,NA,NA
A0A7P0MRW0,NA,NA,NA,0.000102428,NA,NA,NA,NA
A0A7P0N7C4,NA,2.84E-06,NA,NA,NA,NA,NA,NA
A0A7P0NGZ6,NA,0.000746753,NA,1.73E-05,NA,NA,NA,NA
A0A7P0S5H5,NA,0.000157391,NA,4.93E-05,NA,NA,NA,NA
A0A7P0T823,NA,NA,0.000296406,NA,NA,NA,NA,0.001135468
A0A7P0T840,NA,0.000272024,NA,NA,NA,NA,NA,NA
A0A7P0T844,NA,6.97E-05,NA,NA,NA,NA,NA,NA
A0A7P0T861,0.000680047,NA,0.001770364,NA,0.001315738,0.000861316,NA,NA
A0A7P0T890,NA,NA,NA,5.36E-07,NA,NA,NA,NA
A0A7P0T8A3,5.66E-05,NA,NA,NA,NA,9.65E-05,NA,NA
A0A7P0T8C0,NA,NA,NA,0.000268078,NA,NA,NA,NA
A0A7P0T8G1,NA,0.000296753,NA,NA,NA,NA,NA,NA
A0A7P0T8H4,NA,6.93E-05,NA,NA,NA,NA,NA,NA
A0A7P0T8I6,NA,0.000117493,NA,NA,NA,NA,NA,NA
A0A7P0T8P8,NA,NA,NA,7.44E-06,NA,NA,NA,NA
A0A7P0T8Q5,5.71E-05,NA,NA,NA,NA,9.72E-05,NA,NA
A0A7P0T8U1,NA,8.02E-05,NA,NA,NA,NA,NA,NA
A0A7P0T904,NA,8.92E-05,NA,NA,NA,NA,NA,NA
A0A7P0T917,NA,NA,0.000335157,NA,NA,NA,NA,0.001283915
A0A7P0T936,NA,NA,NA,5.73E-05,NA,NA,NA,NA
A0A7P0T937,NA,0.000276166,NA,0.000398111,NA,NA,NA,NA
A0A7P0T954,NA,NA,NA,5.38E-06,NA,NA,NA,NA
A0A7P0T989,NA,0.000135788,NA,NA,NA,NA,NA,NA
A0A7P0T9C4,NA,NA,NA,1.16E-05,NA,NA,NA,NA
A0A7P0T9C5,NA,NA,NA,0.000310114,NA,NA,NA,NA
A0A7P0T9C8,NA,NA,NA,7.32E-06,NA,NA,NA,NA
A0A7P0T9D0,NA,NA,NA,7.66E-06,NA,NA,NA,NA
A0A7P0T9L0,NA,0.000296753,NA,NA,NA,NA,NA,NA
A0A7P0T9L3,NA,NA,NA,6.44E-06,NA,NA,NA,NA
A0A7P0T9P5,NA,NA,NA,1.04E-05,NA,NA,NA,NA
A0A7P0T9R8,NA,NA,NA,1.25E-05,NA,NA,NA,NA
A0A7P0TA35,NA,0.000686189,NA,0.000237907,NA,NA,NA,NA
A0A7P0TA71,NA,0.00066771,NA,0.0002315,NA,NA,NA,NA
A0A7P0TA83,NA,NA,NA,NA,NA,1.54E-05,NA,NA
A0A7P0TAE1,NA,NA,0.000305422,NA,NA,NA,NA,0.001170006
A0A7P0TAE9,NA,0.000260726,NA,0.000375853,NA,NA,NA,NA
A0A7P0TAF9,NA,NA,NA,1.13E-05,NA,NA,NA,NA
A0A7P0TAI0,NA,NA,NA,NA,NA,NA,NA,0.000658474
A0A7P0TAQ0,NA,7.87E-05,NA,NA,NA,NA,NA,NA
A0A7P0TAQ1,5.87E-05,NA,NA,NA,NA,0.000100033,NA,NA
A0A7P0TAT8,NA,NA,0.000296042,NA,NA,NA,NA,0.001134073
A0A7P0TAW3,5.58E-05,0.000272648,NA,0.000234273,NA,9.50E-05,NA,NA
A0A7P0TAY0,0.000181601,NA,NA,NA,NA,0.000309385,NA,NA
A0A7P0TAY2,NA,NA,0.000364565,NA,NA,NA,NA,0.001396573
A0A7P0TB26,NA,0.000697776,NA,0.000241924,NA,NA,NA,NA
A0A7P0TB36,NA,NA,NA,NA,NA,NA,NA,0.000651075
A0A7P0TB65,NA,0.000276635,NA,0.000398786,NA,NA,NA,NA
A0A7P0TBC2,NA,NA,0.000518232,NA,NA,NA,NA,0.001985237
A0A7P0Z494,NA,NA,NA,9.59E-06,NA,NA,NA,NA
A0A7P0Z497,NA,0.000611013,NA,0.000240553,NA,NA,NA,NA
A0A7P0Z4C6,6.20E-05,NA,NA,NA,NA,0.000105655,NA,NA
A0A7P0Z4D6,NA,0.000346527,NA,NA,NA,NA,NA,NA
A0A7R6KYT5,1.46E-05,NA,NA,NA,4.89E-05,8.45E-05,NA,9.28E-05
A0A7S5BX64,NA,NA,NA,NA,NA,NA,0.000765294,NA
A0A7S5BY32,NA,NA,NA,NA,NA,NA,0.000759122,NA
A0A7S5BZG6,NA,NA,NA,NA,NA,NA,0.000797722,NA
A0A7S5BZS1,NA,NA,NA,NA,NA,NA,0.000777944,NA
A0A7S5C2D3,0.000624456,NA,NA,NA,NA,NA,NA,NA
A0A7S5C2J1,NA,NA,NA,NA,NA,NA,0.000771567,NA
A0A7S5C2T1,NA,NA,NA,NA,NA,NA,0.000771567,NA
A0A7S5C499,NA,NA,NA,NA,NA,NA,0.000759122,NA
A0A7S5C4P3,NA,NA,NA,NA,NA,NA,0.000747073,NA
A0A7S5EU60,NA,NA,NA,NA,NA,NA,0.000753049,NA
A0A7S5EUX1,NA,NA,NA,NA,NA,NA,0.000747073,NA
A0A7S5EVV3,NA,NA,NA,NA,NA,NA,0.000784426,NA
A0A7S5EVY1,NA,NA,NA,NA,NA,NA,0.000771567,NA
A0A7S5EY24,NA,NA,NA,NA,NA,NA,0.000753049,NA
A0A7T0LNC9,NA,NA,NA,NA,NA,NA,0.000190164,NA
A0A7T0LNG2,NA,NA,NA,NA,NA,NA,0.000190164,NA
A0A7T0LNG6,NA,NA,NA,NA,NA,NA,0.000190164,NA
A0A7T0LNH1,NA,NA,NA,NA,NA,NA,0.000190164,NA
A0A7T0LNV3,NA,NA,NA,NA,NA,NA,0.000190164,NA
A0A7T0LNV8,NA,NA,NA,NA,NA,NA,0.000190164,NA
A0A7T0LNX1,NA,NA,NA,NA,NA,NA,0.000188451,NA
A0A7T0LP12,NA,9.17E-05,NA,NA,NA,NA,0.000223424,NA
A0A7T0LP46,NA,NA,NA,NA,NA,NA,0.000190164,NA
A0A7T0LPC2,NA,9.08E-05,NA,NA,NA,NA,0.000221355,NA
A0A7T0LPG4,NA,NA,NA,NA,NA,NA,0.000191909,NA
A0A7T0PXN4,NA,NA,NA,NA,NA,NA,0.000190164,NA
A0A7T0PYM4,NA,NA,NA,NA,NA,NA,0.000190164,NA
A0A7T0PYU3,NA,NA,NA,NA,NA,NA,0.000190164,NA
A0A7T0Q5U3,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A7T4WPY7,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A804CF28,NA,NA,NA,0.000314975,NA,NA,NA,NA
A0A804CL36,NA,NA,NA,5.95E-06,NA,NA,NA,NA
A0A804F6T5,NA,NA,NA,0.000859499,NA,NA,NA,NA
A0A804F729,NA,NA,NA,0.000804093,NA,NA,NA,NA
A0A804GS07,NA,NA,NA,NA,NA,NA,NA,0.017082356
A0A804HHW5,NA,NA,NA,0.00010804,NA,NA,NA,NA
A0A804HHY9,NA,NA,NA,1.04E-05,NA,NA,NA,NA
A0A804HI14,NA,NA,NA,9.81E-06,NA,NA,NA,NA
A0A804HI95,NA,NA,NA,NA,0.000187879,NA,NA,NA
A0A804HIG4,NA,NA,NA,9.79E-06,NA,NA,NA,NA
A0A804HII9,0.000141422,0.000474759,0.000812125,NA,0.00017759,0.000693598,NA,NA
A0A804HIN4,NA,NA,NA,9.54E-06,NA,NA,NA,NA
A0A804HIN7,NA,NA,NA,NA,0.000183623,NA,NA,NA
A0A804HIR1,NA,NA,NA,2.25E-05,NA,NA,NA,NA
A0A804HIY0,NA,NA,NA,NA,0.001066706,NA,NA,NA
A0A804HJ17,NA,0.000180075,NA,NA,NA,NA,NA,NA
A0A804HJQ9,NA,NA,NA,NA,0.000604998,NA,NA,NA
A0A804HJU8,NA,NA,NA,NA,0.000185514,NA,NA,NA
A0A804HJZ1,NA,NA,NA,9.83E-06,NA,NA,NA,NA
A0A804HK30,NA,NA,NA,9.60E-06,NA,NA,NA,NA
A0A804HK61,0.000145732,0.000489226,0.000836874,NA,0.000183002,0.000714734,NA,NA
A0A804HK65,NA,NA,NA,1.53E-05,NA,NA,NA,NA
A0A804HK76,2.73E-05,2.30E-05,0.000104911,NA,NA,8.33E-05,NA,NA
A0A804HKE2,0.000140041,NA,0.000804198,NA,0.000175856,0.000686827,NA,NA
A0A804HKE7,NA,4.43E-05,NA,NA,NA,NA,NA,NA
A0A804HKG0,NA,NA,NA,NA,0.00099472,NA,NA,NA
A0A804HKI2,NA,NA,NA,9.37E-06,NA,NA,NA,NA
A0A804HKJ0,NA,NA,NA,9.63E-06,NA,NA,NA,NA
A0A804HKR3,NA,NA,NA,9.71E-06,NA,NA,NA,NA
A0A804HKU2,NA,2.73E-05,NA,1.75E-05,NA,NA,NA,NA
A0A804HL31,0.000156128,NA,NA,NA,NA,NA,NA,NA
A0A804HL40,NA,NA,NA,9.62E-06,NA,NA,NA,NA
A0A804HL72,3.08E-05,NA,0.000118407,NA,NA,9.40E-05,NA,NA
A0A804HLD0,0.000142988,NA,0.000821119,NA,0.000179556,0.000701279,NA,NA
A0A804HLF4,0.000156317,NA,0.000897664,NA,0.000196295,0.000766652,NA,NA
A0A804HLG8,NA,NA,NA,9.57E-06,NA,NA,NA,NA
A0A858LHX2,NA,0.000202028,NA,NA,NA,NA,NA,NA
A0A858LNZ2,NA,0.000202028,NA,NA,NA,NA,NA,NA
A0A890W0J7,NA,NA,NA,NA,NA,NA,0.000825712,NA
A0A8A0WQ04,NA,NA,NA,7.38E-05,NA,NA,NA,NA
A0A8A0WQF7,NA,NA,NA,6.41E-05,NA,NA,NA,NA
A0A8A0WR66,NA,NA,NA,6.75E-05,NA,NA,NA,NA
A0A8A5YP40,NA,NA,9.63E-05,NA,NA,NA,NA,NA
A0A8A5YP91,NA,NA,0.000196676,NA,NA,NA,NA,NA
A0A8A6VHT6,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A8A6VIW3,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0A8E4J607,NA,0.000202028,NA,NA,NA,NA,NA,NA
A0A8F0WPL7,NA,NA,NA,NA,NA,NA,7.13E-05,NA
A0A8F0WPP1,NA,NA,NA,NA,NA,NA,7.13E-05,NA
A0A8F0WQF6,NA,NA,NA,NA,NA,NA,7.13E-05,NA
A0A8F5ZDB1,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0JLQ9,NA,9.27E-06,NA,NA,NA,NA,NA,NA
A0M8W4,NA,3.69E-05,NA,9.24E-05,NA,NA,NA,NA
A0N071,NA,0.013584512,NA,0.01254254,NA,NA,0.02089771,NA
A0PJG0,NA,NA,NA,NA,NA,NA,3.73E-05,NA
A0PJH2,NA,9.62E-05,NA,NA,NA,NA,NA,NA
A0S2P1,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0S3T1,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A0SA07,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A1JUI8,NA,NA,NA,1.72E-05,NA,NA,NA,NA
A1KWR0,NA,0.000267891,NA,NA,NA,NA,NA,NA
A1KZ92,NA,NA,NA,3.43E-06,NA,NA,NA,NA
A1L179,NA,NA,NA,4.37E-05,NA,NA,NA,NA
A1L199,NA,NA,0.000359239,NA,NA,0.000258366,NA,NA
A1L306,NA,NA,NA,9.33E-06,NA,NA,NA,NA
A1L407,0.00023391,NA,NA,NA,NA,NA,NA,NA
A1LU37,NA,0.000311531,NA,0.000261806,NA,NA,NA,NA
A1LUY1,NA,9.91E-05,NA,NA,NA,NA,NA,NA
A1Z455,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A2A274,NA,NA,NA,9.88E-05,NA,NA,NA,NA
A2A3R6,NA,0.000132529,NA,0.00013787,NA,NA,NA,NA
A2KBB9,NA,NA,NA,5.28E-05,NA,NA,0.000734517,NA
A2KBC0,NA,NA,NA,5.28E-05,NA,NA,0.000734517,NA
A2KBC1,NA,NA,NA,5.32E-05,NA,NA,NA,NA
A2KBC2,NA,NA,NA,5.28E-05,NA,NA,0.000734517,NA
A2KBC3,NA,NA,NA,5.28E-05,NA,NA,0.000734517,NA
A2KBC4,NA,NA,NA,5.28E-05,NA,NA,0.000734517,NA
A2KBC5,NA,NA,NA,5.28E-05,NA,NA,0.000734517,NA
A2KBC6,NA,NA,NA,5.28E-05,NA,NA,0.000734517,NA
A2KBC7,NA,NA,NA,5.28E-05,NA,NA,0.000734517,NA
A2KBC8,NA,NA,NA,5.28E-05,NA,NA,0.000734517,NA
A2MYD0,NA,NA,NA,NA,NA,NA,0.000211293,NA
A2MYD4,NA,0.000102195,NA,NA,NA,NA,0.000249024,NA
A2RTY6,NA,NA,NA,NA,NA,NA,0.001952182,NA
A2RU94,0.000194748,NA,NA,NA,NA,NA,NA,NA
A2RUB6,3.97E-05,NA,NA,NA,NA,NA,NA,NA
A2RUB6-3,3.97E-05,NA,NA,NA,NA,NA,NA,NA
A2RUM7,NA,6.61E-05,NA,NA,NA,NA,NA,NA
A2RUS2,NA,NA,NA,NA,NA,0.000116847,NA,NA
A2RUS2-2,NA,NA,NA,NA,NA,0.000116847,NA,NA
A2VBX9,NA,0.000267891,NA,NA,NA,NA,NA,NA
A2VCK8,NA,NA,NA,NA,NA,NA,0.000441452,NA
A3KLL5,NA,NA,NA,0.000143697,NA,NA,NA,NA
A3KPC7,NA,NA,NA,NA,NA,NA,NA,0.008086174
A3KPE2,NA,0.000126125,NA,0.000270645,NA,NA,0.002761906,NA
A3R0T7,0.000221093,NA,NA,NA,NA,NA,NA,NA
A3R0T8,0.000221093,NA,NA,NA,NA,NA,NA,NA
A3RJH1,NA,NA,NA,2.94E-05,NA,NA,NA,NA
A4D0V4,NA,NA,NA,2.34E-05,NA,NA,NA,NA
A4D177,NA,NA,NA,6.86E-05,NA,NA,NA,NA
A4D198,NA,2.12E-05,NA,NA,NA,NA,NA,NA
A4D275,NA,0.000210983,NA,NA,NA,NA,NA,NA
A4D2P0,0.000433454,0.000270523,NA,0.000230161,NA,NA,NA,NA
A4D2P1,0.000476348,0.000297294,NA,0.000252937,NA,NA,NA,NA
A4FTV9,NA,NA,NA,NA,NA,NA,NA,0.007961771
A4GYY8,NA,5.77E-05,NA,9.86E-05,NA,NA,NA,NA
A4LAA3,NA,NA,NA,NA,NA,NA,NA,4.49E-05
A4QPB0,NA,8.67E-05,NA,NA,NA,NA,NA,NA
A4UCS5,0.000558953,NA,NA,NA,NA,0.000302993,NA,NA
A4UCS6,0.000941487,NA,NA,NA,NA,NA,NA,NA
A4UJ43,NA,NA,NA,2.79E-05,NA,NA,NA,NA
A5A163,NA,0.000249605,NA,NA,NA,NA,NA,NA
A5D904,NA,0.000292032,NA,NA,NA,NA,NA,NA
A5PKT9,NA,NA,NA,2.54E-05,NA,NA,NA,NA
A5PL27,NA,5.61E-05,NA,NA,NA,NA,0.00230365,NA
A5PL32,NA,NA,NA,NA,NA,NA,0.000149755,NA
A5PLM9,NA,1.87E-05,NA,NA,NA,NA,NA,NA
A5YAK2,NA,NA,NA,NA,NA,NA,0.000552952,NA
A5YKK6,NA,2.25E-06,NA,NA,NA,NA,NA,NA
A5YKK6-2,NA,2.25E-06,NA,NA,NA,NA,NA,NA
A5YKK6-3,NA,2.25E-06,NA,NA,NA,NA,NA,NA
A5YKK6-4,NA,2.25E-06,NA,NA,NA,NA,NA,NA
A5YM51,NA,NA,0.000378594,NA,NA,NA,NA,NA
A6NEL0,NA,0.000330611,NA,0.000173236,NA,NA,NA,NA
A6NGH2,NA,NA,NA,0.000147593,NA,NA,NA,NA
A6NIF9,0.000256187,NA,NA,NA,NA,NA,NA,NA
A6NIZ1,NA,NA,NA,NA,0.001762384,NA,NA,NA
A6NK38,0.000270688,NA,NA,NA,NA,NA,NA,NA
A6NL76,NA,NA,NA,NA,NA,0.019693662,NA,NA
A6NL93,NA,NA,NA,0.000223282,NA,NA,NA,NA
A6NLG9,NA,0.000354429,NA,4.91E-05,NA,NA,NA,NA
A6NLJ7,NA,0.00021983,NA,NA,NA,NA,NA,NA
A6NLN1,NA,1.18E-05,NA,1.11E-05,NA,NA,NA,NA
A6NMH8,NA,5.21E-05,NA,NA,NA,NA,NA,NA
A6XGL1,NA,7.76E-05,NA,NA,NA,NA,0.00044662,NA
A6YW54,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A6Z3M5,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A6ZEU4,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A6ZF47,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A6ZFK3,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A6ZHA9,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A7BI36,NA,9.15E-05,NA,NA,NA,NA,NA,NA
A7LF11,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A7LFA2,NA,NA,NA,6.27E-05,NA,NA,NA,NA
A7MBN2,NA,NA,NA,6.52E-06,NA,NA,NA,NA
A8JZY9,NA,NA,NA,NA,0.014020919,NA,NA,0.000279118
A8K0B6,NA,0.000115154,NA,NA,NA,NA,NA,NA
A8K0G3,NA,NA,NA,4.31E-05,NA,NA,NA,NA
A8K0R3,NA,0.000377104,NA,NA,NA,NA,NA,NA
A8K0T9,NA,0.000193345,NA,NA,NA,NA,NA,NA
A8K168,6.58E-05,NA,NA,NA,NA,NA,NA,NA
A8K1D2,NA,NA,NA,1.60E-05,NA,NA,NA,NA
A8K1G1,NA,NA,NA,1.24E-05,NA,NA,NA,NA
A8K1H8,NA,3.36E-05,NA,NA,NA,NA,NA,NA
A8K1M2,0.003299687,NA,0.00673502,NA,0.01044898,0.004932721,NA,0.002424395
A8K1U9,NA,NA,NA,6.80E-06,NA,NA,NA,NA
A8K1Z2,NA,NA,NA,4.15E-05,NA,NA,NA,NA
A8K2H4,NA,NA,NA,1.73E-05,NA,NA,NA,NA
A8K2I0,NA,NA,NA,NA,NA,0.00010637,NA,NA
A8K2N0,NA,NA,NA,NA,NA,NA,0.000299698,NA
A8K309,NA,0.000121059,NA,NA,NA,NA,NA,NA
A8K335,NA,NA,NA,2.37E-05,NA,NA,NA,NA
A8K340,NA,NA,NA,0.000274527,NA,NA,NA,NA
A8K3B9,NA,NA,NA,0.000177123,NA,NA,NA,NA
A8K3C3,NA,NA,NA,1.24E-05,NA,NA,NA,NA
A8K3D0,NA,5.73E-05,NA,9.79E-05,NA,NA,NA,NA
A8K3H8,NA,1.21E-05,NA,9.95E-05,NA,NA,NA,NA
A8K3K1,0.015297824,NA,NA,NA,NA,0.018335478,NA,NA
A8K3L0,NA,NA,NA,NA,NA,NA,0.000320357,NA
A8K401,0.000158233,NA,NA,0.000683392,NA,0.000245068,NA,NA
A8K435,NA,NA,NA,3.60E-05,NA,NA,NA,NA
A8K486,NA,0.002697267,NA,0.002065361,NA,NA,5.43E-05,NA
A8K4C8,NA,0.000185985,NA,0.00011508,NA,NA,NA,NA
A8K4G2,NA,NA,NA,NA,NA,NA,NA,0.000462559
A8K4H1,NA,4.25E-05,NA,NA,NA,NA,NA,NA
A8K4M1,5.82E-05,NA,NA,NA,NA,NA,NA,NA
A8K4W0,NA,0.000135134,NA,5.39E-05,NA,NA,NA,NA
A8K4W2,NA,NA,NA,0.000104664,NA,NA,NA,NA
A8K4W7,NA,NA,NA,2.26E-05,NA,NA,NA,NA
