Accessions,10C,18C,18T,19T,3T,4T,5C,8C
A0A024R5H8,0.00020692,NA,NA,0.000169072,NA,NA,NA,NA
A0A024R5J5,0.00020692,NA,NA,0.000169072,NA,NA,NA,NA
A0A024R5K0,NA,2.90E-05,NA,NA,NA,NA,NA,NA
A0A024R5K8,NA,0.00043954,NA,NA,NA,NA,NA,NA
A0A024R5M3,NA,2.96E-05,NA,NA,NA,NA,NA,NA
A0A024R5W6,NA,NA,NA,7.08E-05,NA,NA,NA,NA
A0A024R5Z7,NA,0.002559885,NA,0.000439649,NA,NA,NA,NA
A0A024R5Z8,NA,NA,NA,0.000209327,NA,NA,NA,NA
A0A024R5Z9,NA,NA,NA,0.000916151,NA,NA,NA,NA
A0A024R608,NA,5.48E-05,NA,NA,NA,NA,NA,NA
A0A024R694,0.000144751,0.000485936,0.000831245,NA,0.000181771,0.000709927,NA,NA
A0A024R6B5,0.000698801,NA,NA,NA,NA,NA,NA,NA
A0A024R6C0,NA,0.00011813,NA,NA,NA,NA,NA,NA
A0A024R6C9,NA,1.18E-05,NA,7.39E-05,NA,NA,NA,NA
A0A024R6D4,NA,NA,NA,4.03E-05,NA,NA,NA,NA
A0A024R6H5,NA,3.07E-06,NA,NA,NA,NA,NA,NA
A0A024R6I3,NA,7.74E-05,NA,5.35E-05,NA,NA,NA,NA
A0A024R6I6,NA,NA,NA,NA,NA,NA,2.69E-05,NA
A0A024R6I7,NA,0.000870545,NA,0.000456714,NA,NA,0.022530143,NA
A0A024R6K8,NA,2.84E-05,NA,NA,NA,NA,NA,NA
A0A024R6P0,NA,7.59E-05,NA,4.75E-05,NA,NA,0.004941631,NA
A0A024R6W0,NA,NA,NA,5.65E-05,NA,NA,NA,NA
A0A024R713,NA,1.23E-05,NA,8.72E-05,NA,NA,NA,NA
A0A024R755,NA,0.000141569,NA,NA,NA,NA,NA,NA
A0A024R7A8,NA,0.000189102,NA,8.48E-05,NA,NA,NA,NA
A0A024R7C7,NA,NA,NA,4.87E-05,NA,NA,NA,NA
A0A024R7F1,NA,0.00010662,NA,3.18E-05,NA,NA,NA,NA
A0A024R7F8,NA,6.59E-05,NA,NA,NA,NA,NA,NA
A0A024R7G2,NA,NA,NA,NA,0.001480725,NA,NA,NA
A0A024R7I7,NA,NA,NA,0.000315894,NA,NA,NA,NA
A0A024R7L5,NA,NA,6.63E-05,NA,NA,NA,NA,NA
A0A024R7L8,NA,NA,6.57E-05,NA,NA,NA,NA,NA
A0A024R7M3,NA,NA,NA,3.17E-06,NA,NA,NA,NA
A0A024R7N7,NA,0.000239024,NA,NA,NA,NA,NA,NA
A0A024R7P5,NA,0.000201682,NA,NA,NA,NA,NA,NA
A0A024R7T3,NA,9.46E-05,NA,8.27E-05,NA,NA,NA,NA
A0A024R7V6,NA,2.94E-05,NA,0.00036336,NA,NA,NA,NA
A0A024R814,NA,8.95E-05,NA,5.82E-05,NA,NA,NA,NA
A0A024R830,NA,3.22E-05,NA,NA,NA,NA,NA,NA
A0A024R845,NA,0.000157635,NA,0.000241456,NA,NA,NA,NA
A0A024R884,NA,1.78E-05,NA,5.71E-06,NA,NA,NA,NA
A0A024R889,NA,3.35E-05,NA,NA,NA,4.89E-05,NA,NA
A0A024R895,NA,0.000128792,NA,0.000181366,NA,NA,NA,NA
A0A024R897,NA,4.08E-05,NA,NA,NA,NA,NA,NA
A0A024R8E5,NA,7.76E-06,NA,NA,NA,NA,NA,NA
A0A024R8S3,NA,0.000215929,NA,0.000176275,NA,NA,NA,NA
A0A024R8S5,NA,0.000732116,NA,0.00025383,NA,NA,NA,NA
A0A024R8T9,NA,2.39E-05,NA,NA,NA,NA,NA,NA
A0A024R8V0,NA,1.10E-05,NA,NA,NA,NA,NA,NA
A0A024R904,NA,NA,NA,2.57E-05,NA,NA,NA,NA
A0A024R944,NA,NA,NA,NA,NA,NA,0.001915984,NA
A0A024R962,NA,7.25E-06,NA,NA,NA,NA,0.000341068,NA
A0A024R972,NA,3.97E-06,NA,1.28E-05,NA,NA,NA,NA
A0A024R977,NA,NA,NA,0.000301611,NA,NA,NA,NA
A0A024R984,NA,7.61E-06,NA,NA,NA,NA,NA,NA
A0A024R9A4,7.34E-05,NA,NA,NA,NA,NA,NA,NA
A0A024R9C1,NA,2.52E-05,NA,7.90E-06,NA,NA,NA,NA
A0A024R9D2,NA,NA,NA,2.73E-05,NA,NA,NA,NA
A0A024R9D3,NA,0.000201643,NA,0.000182024,NA,NA,NA,NA
A0A024R9D7,NA,NA,NA,4.50E-05,NA,NA,NA,NA
A0A024R9E2,NA,NA,NA,1.20E-05,NA,NA,NA,NA
A0A024R9G4,NA,NA,NA,5.17E-05,NA,NA,NA,NA
A0A024R9Q1,NA,NA,NA,NA,NA,NA,1.28E-05,NA
A0A024R9T1,NA,NA,0.001164613,NA,NA,NA,NA,NA
A0A024R9Y0,NA,NA,NA,6.34E-05,NA,NA,NA,NA
A0A024RA17,NA,NA,NA,5.51E-05,NA,NA,NA,NA
A0A024RA19,NA,NA,NA,6.37E-05,NA,NA,NA,NA
A0A024RA40,NA,1.87E-05,NA,NA,NA,NA,NA,NA
A0A024RA52,NA,2.29E-05,NA,6.44E-05,NA,NA,NA,NA
A0A024RA55,NA,0.000148116,NA,NA,NA,NA,NA,NA
A0A024RAA5,NA,0.000653735,0.001164613,0.000569896,NA,NA,NA,NA
A0A024RAA7,NA,NA,NA,NA,NA,NA,0.000859896,NA
A0A024RAB6,NA,9.44E-06,NA,3.85E-06,NA,NA,NA,NA
A0A024RAB9,NA,NA,NA,NA,NA,NA,0.0004134,NA
A0A024RAD5,NA,5.28E-05,NA,NA,NA,NA,NA,NA
A0A024RAE6,NA,NA,0.001164613,NA,NA,NA,NA,NA
A0A024RAF2,NA,0.000171516,NA,0.000161021,NA,NA,NA,NA
A0A024RAG3,NA,NA,NA,2.85E-05,NA,NA,NA,NA
A0A024RAG6,NA,NA,NA,NA,NA,NA,0.000231745,NA
A0A024RAI1,NA,0.000273112,NA,8.61E-05,NA,NA,NA,NA
A0A024RAL1,NA,3.70E-06,NA,NA,NA,NA,NA,NA
A0A024RAM2,NA,0.000336559,NA,NA,NA,NA,NA,NA
A0A024RAM4,NA,NA,NA,6.72E-05,NA,NA,NA,NA
A0A024RAP3,NA,5.43E-06,NA,NA,NA,NA,NA,NA
A0A024RAQ9,NA,2.63E-06,NA,NA,NA,NA,NA,NA
A0A024RAS2,NA,NA,NA,NA,NA,NA,NA,0.00802349
A0A024RAS5,NA,0.000363852,NA,NA,NA,NA,NA,NA
A0A024RAS8,NA,2.36E-05,NA,NA,NA,NA,NA,NA
A0A024RAX0,NA,NA,NA,5.69E-05,NA,NA,NA,NA
A0A024RAZ7,NA,0.000513072,NA,0.000846312,NA,NA,NA,NA
A0A024RB14,NA,0.000108577,NA,0.000101933,NA,NA,NA,NA
A0A024RB32,NA,NA,NA,0.000162229,NA,NA,NA,NA
A0A024RB41,NA,0.000116152,NA,NA,NA,NA,NA,NA
A0A024RB53,NA,0.000596446,NA,0.000983838,NA,NA,NA,NA
A0A024RB75,NA,NA,NA,5.21E-05,NA,NA,NA,NA
A0A024RB87,NA,NA,NA,0.000300339,0.001762384,NA,NA,NA
A0A024RBB7,NA,4.79E-05,NA,1.50E-05,NA,NA,NA,NA
